iter	Passed	Remaining
706	7448	979
707	7470	970
708	7491	961
709	7513	952
710	7531	942
711	7550	933
712	7569	923
713	7589	914
714	7608	904
715	7627	894
716	7644	884
717	7663	875
718	7692	866
719	7711	856
720	7728	846
721	7747	837
722	7763	826
723	7780	816
724	7795	806
725	7813	796
726	7830	786
727	7847	776
728	7865	766
729	7880	755
730	7898	745
731	7914	735
732	7934	725
733	7950	714
734	7968	704
735	7987	694
736	8005	684
737	8021	673
738	8037	663
739	8053	653
740	8072	642
741	8089	632
742	8106	621
743	8124	611
744	8141	601
745	8160	590
746	8177	580
747	8193	569
748	8210	559
749	8229	548
750	8247	538
751	8267	527
752	8283	517
753	8301	506
754	8317	495
755	8334	485
756	8350	474
757	8371	463
758	8389	453
759	8406	442
760	8422	431
761	8439	420
762	8457	410
763	8474	399
764	8492	388
765	8511	377
766	8529	366
767	8548	356
768	8567	345
769	8586	334
770	8603	323
771	8623	312
772	8642	301
773	8660	290
774	8676	279
775	8696	268
776	8721	258
777	8752	247
778	8776	236
779	8806	225
780	8825	214
781	8855	203
782	8895	193
783	8914	181
784	8941	170
785	8964	159
786	8983	148
787	9002	137
788	9019	125
789	9037	114
790	9055	103
791	9071	91
792	9094	80
793	9112	68
794	9127	57
795	9146	45
796	9165	34
797	9181	23
798	9198	11
799	9215	0
